Text,Gender_bias_sentiment,Bias_type,Biased_span,Bias_explanation
"Looking for a hungry, driven operator with a chip on their shoulder.",biased,masculine_coded_language,chip on their shoulder,Chip on their shoulder is a masculine-coded chip-against-the-world aggression signal associated with competitive male professional cultures.
The candidate must be well-presented and physically attractive for this client-facing role.,biased,appearance_bias,physically attractive,Requiring physical attractiveness for a client-facing role is a gendered standard that disproportionately disadvantages women through objectification.
"We are looking for a slim, presentable female host for our corporate events.",biased,appearance_bias,"slim, presentable female host",Specifying body type and gender for a hosting role has no occupational justification and is both appearance-discriminatory and gendered.
"The successful candidate will have a neat, feminine appearance suitable for our luxury brand.",biased,appearance_bias,feminine appearance,Requiring a feminine appearance as a job qualification imposes a gendered aesthetic standard with no occupational basis.
We need a front-of-house candidate who is well-groomed and conventionally attractive.,biased,appearance_bias,conventionally attractive,Specifying conventional attractiveness encodes racial and gender beauty norms with no occupational justification.
This role requires a photogenic candidate comfortable being featured in marketing materials.,biased,appearance_bias,photogenic candidate,Photogenic as a job requirement imposes an appearance standard that disproportionately disadvantages women through objectification.
"Looking for a polished, stylish professional to represent our fashion brand in-store.",biased,appearance_bias,"polished, stylish professional",Polished and stylish encode gendered appearance standards that disproportionately disadvantage women and non-binary candidates.
"The candidate should maintain a youthful, vibrant appearance appropriate for our wellness brand.",biased,appearance_bias,"youthful, vibrant appearance",Requiring a youthful appearance compounds age and gender discrimination and has no occupational basis.
We need an attractive spokesperson comfortable with video and public appearances.,biased,appearance_bias,attractive spokesperson,Attractive is a subjective appearance standard that encodes gendered and racialised beauty norms when used as a job requirement.
Our ideal candidate is well-dressed and takes pride in their personal presentation at all times.,biased,appearance_bias,well-dressed,Framing appearance as a character trait encodes appearance-based screening that disproportionately disadvantages women.
"The role requires a tall, physically imposing candidate to maintain presence on the trading floor.",biased,appearance_bias,"tall, physically imposing","Height and physical imposingness are gendered appearance requirements; men are statistically taller, making this an indirect gender discriminator."
We are seeking a glamorous brand ambassador to represent our cosmetics line at events.,biased,appearance_bias,glamorous brand ambassador,Glamorous is a gendered aesthetic standard that imposes feminised appearance requirements and subjects candidates to objectification.
Our hospitality team needs someone with a warm smile and an appealing personality.,biased,appearance_bias,appealing personality,Appealing personality encodes subjective appearance and social performance standards that disproportionately disadvantage women.
We are hiring attractive female promotional staff for our trade show booth.,biased,appearance_bias,attractive female promotional staff,Combining gendered and attractiveness requirements for event staffing has no occupational justification and is doubly discriminatory.
"The candidate should have a svelte, healthy figure that reflects our fitness brand values.",biased,appearance_bias,"svelte, healthy figure",Specifying a body type as a job requirement imposes appearance standards that are gendered and potentially discriminatory under disability law.
"We need a charismatic, handsome male brand representative for our menswear launch.",biased,appearance_bias,handsome male brand representative,Specifying attractiveness and gender for a brand representative role objectifies candidates and limits the pool discriminatorily.
"Looking for a tall, elegant female to host our VIP lounge events.",biased,appearance_bias,"tall, elegant female","Requiring height, elegance, and female gender for a hosting role compounds gender and appearance discrimination."
"The ideal receptionist is smartly dressed, attractive, and presents well in person.",biased,appearance_bias,attractive,Listing attractive as a receptionist requirement imposes gendered beauty standards on a professional role with no occupational justification.
"We need a presentable, slim female flight attendant who projects our brand image.",biased,appearance_bias,slim female flight attendant,Specifying body shape and gender for a flight attendant is both appearance and gender discriminatory.
"Our brand ambassador must be camera-ready with a polished, attractive appearance at all times.",biased,appearance_bias,"camera-ready with a polished, attractive appearance",Camera-ready attractiveness as a job requirement subjects candidates to gendered beauty standards with no occupational basis.
Looking for a well-built male fitness instructor who can inspire clients by example.,biased,appearance_bias,well-built male fitness instructor,Requiring a well-built male body for a fitness instructor role conflates physical inspiration with a specific gendered body standard.
"We are hiring hostesses who are beautiful, elegant, and professionally groomed.",biased,appearance_bias,"beautiful, elegant, and professionally groomed",Beautiful and elegant are gendered appearance requirements that objectify candidates applying for this role.
"The customer success role calls for a vivacious, attractive individual with a magnetic personality.",biased,appearance_bias,attractive individual with a magnetic personality,Attractive and magnetic personality together encode gendered social performance and appearance standards in a professional context.
Our restaurant needs a waitress who is presentable and attractive to enhance guest experience.,biased,appearance_bias,attractive to enhance guest experience,Framing attractiveness as a guest experience enhancer makes appearance a professional criterion with no occupational basis.
"We need a shapely, photogenic influencer to represent our activewear brand online.",biased,appearance_bias,"shapely, photogenic influencer",Shapely is a gendered body-type requirement that imposes narrow appearance standards on candidates and constitutes discrimination.
"The spokesperson must have a polished, put-together appearance that reflects corporate gravitas.",biased,appearance_bias,"polished, put-together appearance",Polished and put-together appearance requirements for corporate roles encode gendered grooming standards that disadvantage women and non-binary candidates.
This is a family-friendly company — we ask that candidates do not have young children at home.,biased,motherhood_penalty,do not have young children at home,Explicitly screening out candidates with young children is direct discrimination that disproportionately impacts women and is illegal in most jurisdictions.
We are looking for someone fully committed — maternity leave will not be supported in this role.,biased,motherhood_penalty,maternity leave will not be supported,Explicitly excluding maternity leave is direct gender discrimination that targets women and violates employment law in most jurisdictions.
The ideal candidate has no plans to start a family in the near future.,biased,motherhood_penalty,no plans to start a family,Asking or implying candidates should not plan to have children is direct pregnancy and gender discrimination.
We prefer candidates without childcare responsibilities that might affect their availability.,biased,motherhood_penalty,without childcare responsibilities,Screening against childcare responsibilities disproportionately disadvantages mothers and constitutes indirect gender discrimination.
Candidates who have taken extended maternity leave may not be suitable for this fast-paced role.,biased,motherhood_penalty,taken extended maternity leave,Penalising maternity leave as a job disqualifier is direct gender discrimination; maternity leave is a legal right in most jurisdictions.
We need someone in the office five days a week — this role is not compatible with school run schedules.,biased,motherhood_penalty,not compatible with school run schedules,Explicitly framing school run schedules as incompatible signals that primary caregivers — disproportionately mothers — are unwelcome.
This is a high-commitment role — we ask that family planning not interfere with your career trajectory.,biased,motherhood_penalty,family planning not interfere with your career,Framing family planning as a career interference discourages women who are or plan to be pregnant from applying.
Candidates must demonstrate that personal commitments will never take priority over work obligations.,biased,motherhood_penalty,personal commitments will never take priority,This framing penalises caregiving responsibilities disproportionately held by women.
We are a high-growth startup — parental leave is not currently part of our benefits package.,biased,motherhood_penalty,parental leave is not currently part of our benefits package,Advertising the absence of parental leave is a structural signal that discourages women and primary caregivers from applying.
The successful candidate will not allow domestic responsibilities to impact their performance.,biased,motherhood_penalty,domestic responsibilities to impact their performance,Framing domestic responsibilities as a performance risk encodes the motherhood penalty and signals that caregivers are undesirable candidates.
"We need someone with no upcoming life events — no weddings, maternity, or major personal plans.",biased,motherhood_penalty,"no weddings, maternity",Explicitly listing maternity as an undesirable upcoming life event is direct gender and pregnancy discrimination.
Women returning from career breaks due to childcare may find this role challenging.,biased,motherhood_penalty,Women returning from career breaks due to childcare may find this role challenging,Explicitly warning women returners from childcare breaks discourages a protected group from applying.
We will not consider candidates who have previously reduced their hours due to family obligations.,biased,motherhood_penalty,reduced their hours due to family obligations,Penalising reduced hours linked to caregiving disproportionately screens out mothers and constitutes indirect gender discrimination.
Candidates who are pregnant or recently pregnant may not have the capacity for this high-pressure role.,biased,motherhood_penalty,pregnant or recently pregnant may not have the capacity,Explicitly framing pregnancy as a capacity concern is direct pregnancy discrimination and illegal in all major jurisdictions.
This role is not suited to candidates who plan to take extended time off in the next two years.,biased,motherhood_penalty,plan to take extended time off in the next two years,Extended time off includes maternity leave; framing this as a disqualifier is indirect pregnancy and gender discrimination.
We ask that candidates confirm they have stable childcare arrangements before applying.,biased,motherhood_penalty,confirm they have stable childcare arrangements,Requiring candidates to disclose and demonstrate childcare arrangements is intrusive and disproportionately burdens women candidates.
Our team moves fast — candidates with part-time histories due to childcare will not be prioritised.,biased,motherhood_penalty,part-time histories due to childcare will not be prioritised,Explicitly penalising part-time work linked to childcare is indirect gender discrimination and motherhood penalty.
We value continuity — candidates who left the workforce to raise children will be considered at a lower level.,biased,motherhood_penalty,left the workforce to raise children will be considered at a lower level,Demoting candidates for caregiving career breaks is a direct motherhood penalty and constitutes gender discrimination.
The successful applicant will confirm that school holidays will not disrupt their working pattern.,biased,motherhood_penalty,school holidays will not disrupt their working pattern,"Requiring candidates to confirm school holidays don't affect them is indirect discrimination against parents, disproportionately mothers."
We require someone who will not need to take time off for fertility treatments.,biased,motherhood_penalty,time off for fertility treatments,Screening against fertility treatment leave is direct gender and medical discrimination.
We expect full attendance — candidates who have previously taken maternity or paternity leave should note our demanding schedule.,biased,motherhood_penalty,previously taken maternity or paternity leave should note our demanding schedule,Flagging parental leave as a potential conflict with a demanding schedule is a motherhood penalty signal that discourages parents from applying.
Candidates should be aware that the company does not accommodate flexible working for parental reasons.,biased,motherhood_penalty,does not accommodate flexible working for parental reasons,Explicitly excluding parental flexible working is a structural motherhood penalty and indirect gender discriminator.
We will not be able to guarantee a return-to-work role following any maternity absence.,biased,motherhood_penalty,not be able to guarantee a return-to-work role following any maternity absence,Refusing to guarantee return-to-work after maternity leave is illegal in most jurisdictions and is direct gender discrimination.
This role requires sustained physical presence — candidates with new babies should consider carefully.,biased,motherhood_penalty,candidates with new babies should consider carefully,Cautioning candidates with new babies is a motherhood penalty signal that discourages mothers from applying.
We prefer candidates who are past the stage of starting a family and fully settled in their careers.,biased,motherhood_penalty,past the stage of starting a family,Preferring candidates past family-forming age is pregnancy and gender discrimination combined with age discrimination.
Frequent overnight travel is mandatory — candidates with infant-age children should assess their suitability.,biased,motherhood_penalty,candidates with infant-age children should assess their suitability,Directing candidates with infants to self-screen out is a motherhood penalty that discourages mothers from applying.
The role does not support job shares or part-time arrangements arising from childcare.,biased,motherhood_penalty,does not support job shares or part-time arrangements arising from childcare,Explicitly refusing childcare-related flexible working is a structural motherhood penalty and indirect gender discriminator.
We are unable to support candidates who require regular time off for children's medical appointments.,biased,motherhood_penalty,regular time off for children's medical appointments,Refusing to accommodate parental medical appointments is indirect gender discrimination against primary caregivers.
Candidates who have previously taken career breaks for family reasons will not be shortlisted.,biased,motherhood_penalty,taken career breaks for family reasons will not be shortlisted,Explicitly excluding candidates with family-related career breaks is a direct motherhood penalty and gender discrimination.
The successful candidate will be responsible for conducting technical interviews with engineering candidates.,neutral,none,,Describes a professional task without any gendered or age-related language.
We are looking for a software engineer with 3+ years of experience in Python and cloud infrastructure.,neutral,none,,The role description uses skills and experience requirements without any discriminatory language.
The candidate will collaborate with cross-functional teams to deliver product features on schedule.,neutral,none,,Describes collaborative work using neutral and inclusive language.
We require strong written and verbal communication skills for this client-facing role.,neutral,none,,Communication skills are described as a job requirement without any gendered framing.
The successful applicant will manage a team of five analysts and report to the Head of Data.,neutral,none,,Describes a management role with organisational detail and no discriminatory language.
We offer flexible working arrangements to support candidates from all backgrounds.,neutral,none,,This sentence actively signals inclusivity and removes structural barriers to application.
All applicants will be assessed on their technical skills and relevant experience.,neutral,none,,Competency-based assessment criteria are clearly stated without bias.
This role is open to candidates at all career stages with relevant expertise.,neutral,none,,Explicitly welcoming all career stages removes discriminatory signals from the hiring message.
The position involves coordinating logistics across multiple international offices.,neutral,none,,Describes job responsibilities using functional language with no discriminatory elements.
We are seeking a marketing strategist to lead brand campaigns across digital and traditional channels.,neutral,none,,Job title and responsibilities are described with neutral and inclusive language.
Candidates should have demonstrated experience in financial modelling and stakeholder reporting.,neutral,none,,Experience requirements are stated in terms of demonstrated competence rather than demographic proxies.
The successful candidate will work closely with the legal team to ensure regulatory compliance.,neutral,none,,Describes cross-functional collaboration using neutral professional language.
We welcome applications from candidates with non-traditional career paths.,neutral,none,,This phrasing actively removes the penalty for career gaps or non-linear experience.
The role involves managing procurement contracts and supplier relationships across three regions.,neutral,none,,Functional role description with no discriminatory language.
We are committed to building a diverse team and encourage applications from underrepresented groups.,neutral,none,,Inclusive hiring intent is stated explicitly and positively.
This position requires a strong analytical mindset and attention to detail.,neutral,none,,Describes cognitive job requirements using skills-based language with no discriminatory framing.
The candidate will design and implement machine learning pipelines for real-time prediction systems.,neutral,none,,Technical role description using precise skills language without any discriminatory elements.
We value candidates who bring diverse perspectives and lived experience to the team.,neutral,none,,Positive inclusive signal that values diversity of background without specifying any protected characteristic.
"The role includes managing budgets, forecasting revenue, and presenting results to senior leadership.",neutral,none,,Clear functional responsibilities stated with no demographic proxies.
Applicants should have experience facilitating workshops and delivering training to large groups.,neutral,none,,Skills-based requirement stated in plain inclusive language.
We seek a detail-oriented operations coordinator to streamline our administrative processes.,neutral,none,,Job requirement described using a functional skill without gendered framing.
The candidate will be responsible for maintaining relationships with key clients and identifying growth opportunities.,neutral,none,,Client relationship responsibilities described neutrally without demographic proxies.
Strong project management skills and familiarity with Agile methodologies are required.,neutral,none,,Technical skill requirements stated without any discriminatory language.
We encourage applications from individuals with disabilities and are happy to discuss reasonable adjustments.,neutral,none,,Proactive inclusive hiring statement that removes structural barriers.
The position requires experience with SQL databases and data visualisation tools such as Tableau.,neutral,none,,Technical proficiency requirements stated in specific skills-based language.
Candidates will be evaluated based on a structured competency framework applied consistently to all applicants.,neutral,none,,Explicit commitment to structured fair evaluation removes implicit bias signals.
The role involves writing technical documentation and translating complex concepts for non-technical stakeholders.,neutral,none,,Role responsibilities stated clearly and functionally without discriminatory elements.
We are looking for a cybersecurity analyst with experience in penetration testing and incident response.,neutral,none,,Technical role described using specific skills with no demographic proxies.
The successful candidate will support the Head of People in implementing the company's wellbeing strategy.,neutral,none,,Organisational relationship and responsibility described neutrally without gendered framing.
This is a hybrid role with three days in the office and two days working remotely.,neutral,none,,Working arrangement described transparently and inclusively without structural barriers.
We seek a content strategist with a strong portfolio across long-form editorial and social media formats.,neutral,none,,Portfolio and format-based requirement stated in plain skills language.
The candidate will partner with engineering and product teams to define platform architecture.,neutral,none,,Cross-functional technical role described with no discriminatory elements.
Fluency in English and at least one additional language is preferred for this international liaison role.,neutral,none,,Language requirement stated as a professional skill relevant to the role without discriminatory framing.
We are building a team with a range of professional backgrounds and actively welcome career changers.,neutral,none,,Inclusive statement that explicitly removes the penalty for non-traditional career paths.
The successful candidate will lead a team of designers through end-to-end product development cycles.,neutral,none,,Leadership role described functionally using inclusive language.
We offer parental leave equally to all parents regardless of gender.,neutral,none,,Explicit equitable policy statement that removes a structural discriminatory signal.
Relevant certifications such as PMP or PRINCE2 are advantageous but not required.,neutral,none,,Certification stated as advantageous rather than mandatory with no discriminatory framing.
The role requires strong stakeholder management skills and the ability to influence without authority.,neutral,none,,Soft skill requirement stated as professional competency using neutral language.
We are looking for a UX researcher to conduct user interviews and synthesise insights into design recommendations.,neutral,none,,Research role described using functional skills language with no discriminatory elements.
The position is open to part-time or full-time applicants depending on the candidate's preference.,neutral,none,,Flexible hiring signal that removes a structural barrier for caregivers and part-time workers.
Candidates should be comfortable presenting data-driven recommendations to C-suite stakeholders.,neutral,none,,Professional competency requirement stated functionally without discriminatory language.
We are seeking a DevOps engineer with experience in CI/CD pipelines and infrastructure as code.,neutral,none,,Technical role described in specific skills language with no demographic proxies.
All interview stages are structured and scored against defined criteria to ensure fairness.,neutral,none,,Commitment to structured fair process explicitly stated.
The successful applicant will manage our social impact portfolio and report to the CSR Director.,neutral,none,,Role and reporting line described neutrally without discriminatory framing.
We provide a mentorship programme for all new joiners to support their professional development.,neutral,none,,Inclusive development offering described without gendered framing.
The candidate will conduct quarterly performance reviews and provide structured feedback to direct reports.,neutral,none,,Management responsibility described in neutral functional language.
We are hiring a data scientist with experience in predictive modelling and statistical analysis.,neutral,none,,Technical role described using domain skills with no discriminatory language.
The role involves preparing and presenting financial statements to the board on a quarterly basis.,neutral,none,,Finance role described functionally with no discriminatory elements.
We offer a comprehensive onboarding programme to support all new hires in their first 90 days.,neutral,none,,Onboarding support described inclusively with no discriminatory language.
Candidates should have experience managing vendor relationships and negotiating contracts.,neutral,none,,Procurement responsibility described using skills-based language with no demographic proxies.
The position requires proficiency in AutoCAD and experience delivering projects to tight tolerances.,neutral,none,,Technical proficiency requirement stated in tools-based language with no discriminatory framing.
We are looking for a people partner to support managers with employee relations and talent development.,neutral,none,,HR role described using professional title and function with no gendered language.
The candidate will be responsible for developing and maintaining the company's API documentation.,neutral,none,,Technical writing role described functionally with no discriminatory elements.
We welcome applications from candidates who have taken career breaks and are returning to work.,neutral,none,,Explicit inclusive signal that removes the penalty for career gaps including parental leave.
This role offers flexible start times to support candidates from all backgrounds and caring responsibilities.,neutral,none,,Flexible working signal that removes structural barriers for caregivers and diverse candidates.
The successful candidate will develop training materials and deliver induction sessions across the business.,neutral,none,,Learning and development role described in plain functional language with no discriminatory elements.
We are seeking a nurse with experience in acute care and medication management.,neutral,none,,Clinical role described using skills and experience requirements without any gendered language.
The candidate will support the product team with user acceptance testing and quality assurance.,neutral,none,,Technical support role described functionally with no discriminatory language.
We value continuous learning and will support the successful candidate with professional development funding.,neutral,none,,Development benefit described inclusively with no discriminatory framing.
Candidates should have experience coordinating international logistics and managing customs documentation.,neutral,none,,Logistics role described using specific skills with no demographic proxies.
The role involves building and maintaining relationships with government stakeholders across three markets.,neutral,none,,Public affairs role described functionally with no discriminatory elements.
We are looking for a paramedic with current registration and experience in pre-hospital emergency care.,neutral,none,,Clinical role described using registration and experience requirements without gendered language.
The successful candidate will manage our apprenticeship programme and liaise with training providers.,neutral,none,,Education and training management role described without any discriminatory language.
We are committed to pay transparency and publish salary bands for all roles on our careers page.,neutral,none,,Pay transparency commitment described inclusively with no discriminatory framing.
The candidate will oversee our accessibility compliance programme and audit our digital products.,neutral,none,,Compliance role described functionally with no discriminatory elements.
All employees are entitled to ten days of paid personal leave per year for any purpose.,neutral,none,,Leave policy stated inclusively without attaching conditions that disadvantage caregivers.
We are looking for a qualified accountant with experience in group consolidation and IFRS reporting.,neutral,none,,Accounting role described using qualifications and technical skills with no discriminatory language.
The role requires the ability to work collaboratively across time zones with a distributed team.,neutral,none,,Cross-timezone collaboration requirement described functionally with no discriminatory framing.
Candidates should have experience conducting equality impact assessments and diversity audits.,neutral,none,,Equality and diversity competency described as a professional skill with no discriminatory language.
"We offer a salary of £55,000–£65,000 depending on experience, with no negotiation penalty for candidates who don't push.",neutral,none,,Transparent salary with explicit negotiation equity reduces the gender pay gap signal.
"The successful candidate will be assessed on their portfolio of work, not their educational background.",neutral,none,,Portfolio-based assessment removes educational gatekeeping and credentialism that can disadvantage diverse candidates.
We welcome job-share applications for this role and will consider two candidates splitting the responsibilities.,neutral,none,,Job share offer removes a structural barrier for part-time candidates and caregivers.
The candidate will be responsible for end-to-end project delivery using agile sprint methodology.,neutral,none,,Project management responsibility described using methodology-specific language with no discriminatory elements.
"We provide 26 weeks of fully paid parental leave to all parents, regardless of gender or employment type.",neutral,none,,Equitable parental leave policy removes a structural motherhood penalty signal and supports gender pay equity.
Candidates at all levels are encouraged to apply — we will create a role that fits the right person.,neutral,none,,Open-level hiring signal removes seniority gatekeeping that can disadvantage candidates returning from career breaks.
The role involves commissioning original research and managing relationships with academic partners.,neutral,none,,Research management role described functionally with no discriminatory language.
We use blind CV screening to reduce unconscious bias in our shortlisting process.,neutral,none,,Explicit commitment to blind screening is a positive anti-bias signal in the job advertisement itself.
The successful candidate will build data pipelines to support our real-time analytics dashboard.,neutral,none,,Data engineering role described in technical skills language with no discriminatory elements.
All roles at this company are evaluated against a transparent pay framework aligned to market benchmarks.,neutral,none,,Pay framework transparency reduces the conditions under which the gender pay gap is perpetuated.
"We actively encourage applications from candidates who identify as LGBTQ+, disabled, or from ethnic minority backgrounds.",neutral,none,,Intersectional positive action statement removes structural barriers for multiple underrepresented groups.
The position is remote-first with no expectation of regular office attendance unless chosen by the candidate.,neutral,none,,Remote-first policy removes geographic and commuting barriers that disproportionately affect caregivers.
Candidates should have experience delivering community health programmes in low-resource settings.,neutral,none,,Public health role described using setting-specific skills with no discriminatory language.
The role requires strong evidence synthesis skills and experience publishing in peer-reviewed journals.,neutral,none,,Research role described using academic competency with no discriminatory elements.
We provide on-site childcare facilities to support employees with young children.,neutral,none,,Childcare provision signal actively removes a structural barrier for primary caregivers and supports gender pay equity.
Candidates should be comfortable with ambiguity and able to define structure where none exists.,neutral,none,,Tolerance of ambiguity is a skills-based requirement stated without gendered or demographic coding.
We are looking for a solicitor with experience in employment law and discrimination claims.,neutral,none,,Legal role described using specialism and experience requirements with no discriminatory language.
The successful candidate will manage a portfolio of housing association clients and report monthly to the board.,neutral,none,,Client management role described functionally with no discriminatory elements.
We offer salary sacrifice for childcare costs and a generous employer pension contribution.,neutral,none,,"Benefits described inclusively including childcare cost support, which removes a structural barrier for caregivers."
All candidates will complete the same structured interview with identical questions and scoring rubrics.,neutral,none,,Structured identical interview commitment explicitly removes the conditions under which implicit gender bias operates.
Candidates with international work experience are particularly welcome to apply.,neutral,none,,International experience described as a positive signal without imposing it as a barrier or demographic proxy.
The role involves supporting clients through complex benefit claim processes and appeals.,neutral,none,,Social care role described functionally with no discriminatory language.
We are looking for a pharmacist with experience in medicines reconciliation and patient counselling.,neutral,none,,Clinical role described using professional skills without gendered language.
The position requires the candidate to be proficient in Adobe Creative Suite and motion graphics software.,neutral,none,,Creative technical role described using specific tool proficiency without any discriminatory elements.
We run a structured return-to-work programme specifically designed to support candidates after career breaks.,neutral,none,,Return-to-work programme actively removes the penalty for career breaks and supports women returners inclusively.
Candidates should have experience of bid writing and securing funding from public sector commissioners.,neutral,none,,Business development role in third sector described using skills-based language with no discriminatory elements.
We are committed to equal pay and conduct an annual pay gap audit published on our website.,neutral,none,,Public pay gap audit commitment is a proactive anti-discrimination signal in the job advertisement.
The role involves peer support facilitation and community development in a mental health context.,neutral,none,,Community health role described functionally without gendered or discriminatory language.
All employees have access to an Employee Assistance Programme including counselling and legal advice.,neutral,none,,Support benefits described inclusively without demographic targeting.
We are hiring a quantity surveyor with experience in NEC contracts and infrastructure delivery.,neutral,none,,Construction professional role described using specialism and contract knowledge without gendered language.
The candidate will lead on safeguarding policy and ensure compliance with statutory guidance.,neutral,none,,Safeguarding leadership role described in policy and compliance terms without discriminatory language.
